undefinedin,victory_percentage,loose_percentage,split_percentage
2c2s,6s4c,49,47,4
2c2s,6s3s,49,48,3
2c2s,6s3d,51,46,3
2c2s,6s3h,51,46,3
2c2s,6s3c,51,46,3
2c2s,6s2d,64,31,5
2c2s,6s2h,64,31,5
2c2s,6d6s,17,81,2
2c2s,6d6h,18,80,2
2c2s,6d6c,17,81,2
2c2s,6d5s,49,48,3
2c2s,6d5d,46,51,3
2c2s,6d5h,49,48,3
2c2s,6d5c,49,48,3
2c2s,6d4s,50,47,3
2c2s,6d4d,47,50,3
2c2s,6d4h,50,47,3
2c2s,6d4c,50,47,3
2c2s,6d3s,51,46,3
2c2s,6d3d,48,48,4
2c2s,6d3h,52,45,3
2c2s,6d3c,51,46,3
2c2s,6d2d,60,36,4
2c2s,6d2h,65,31,4
2c2s,6h6s,17,81,2
2c2s,6h6d,18,80,2
2c2s,6h6c,17,81,2
2c2s,6h5s,49,48,3
2c2s,6h5d,49,48,3
2c2s,6h5h,46,51,3
2c2s,6h5c,49,48,3
2c2s,6h4s,50,47,3
2c2s,6h4d,50,46,4
2c2s,6h4h,47,49,4
2c2s,6h4c,50,47,3
2c2s,6h3s,51,46,3
2c2s,6h3d,51,45,4
2c2s,6h3h,49,48,3
2c2s,6h3c,51,45,4
2c2s,6h2d,64,31,5
2c2s,6h2h,61,35,4
2c2s,6c6s,17,81,2
2c2s,6c6d,17,80,3
2c2s,6c6h,17,81,2
2c2s,6c5s,49,48,3
2c2s,6c5d,49,48,3
2c2s,6c5h,49,48,3
2c2s,6c5c,47,50,3
2c2s,6c4s,50,47,3
2c2s,6c4d,50,47,3
2c2s,6c4h,50,47,3
2c2s,6c4c,48,49,3
2c2s,6c3s,50,46,4
2c2s,6c3d,51,46,3
2c2s,6c3h,51,46,3
2c2s,6c3c,49,48,3
2c2s,6c2d,64,32,4
2c2s,6c2h,64,31,5
2c2s,5s5d,17,80,3
2c2s,5s5h,17,80,3
2c2s,5s5c,16,81,3
2c2s,5s4s,47,49,4
2c2s,5s4d,50,47,3
2c2s,5s4h,49,47,4
2c2s,5s4c,48,48,4
2c2s,5s3s,48,48,4
2c2s,5s3d,50,46,4
2c2s,5s3h,50,46,4
2c2s,5s3c,50,46,4
2c2s,5s2d,62,32,6
2c2s,5s2h,63,32,5
2c2s,5d5s,17,80,3
2c2s,5d5h,18,80,2
2c2s,5d5c,17,80,3
2c2s,5d4s,49,47,4
2c2s,5d4d,47,50,3
2c2s,5d4h,50,46,4
2c2s,5d4c,50,47,3
2c2s,5d3s,50,46,4
2c2s,5d3d,48,49,3
2c2s,5d3h,51,45,4
2c2s,5d3c,50,46,4
2c2s,5d2d,59,36,5
2c2s,5d2h,63,32,5
2c2s,5h5s,17,80,3
2c2s,5h5d,18,79,3
2c2s,5h5c,17,80,3
2c2s,5h4s,50,47,3
2c2s,5h4d,50,47,3
2c2s,5h4h,47,49,4
2c2s,5h4c,49,47,4
2c2s,5h3s,50,46,4
2c2s,5h3d,51,46,3
2c2s,5h3h,48,49,3
2c2s,5h3c,50,46,4
2c2s,5h2d,63,32,5
2c2s,5h2h,59,36,5
2c2s,5c5s,16,81,3
2c2s,5c5d,17,80,3
2c2s,5c5h,17,80,3
2c2s,5c4s,49,48,3
2c2s,5c4d,49,47,4
2c2s,5c4h,49,47,4
2c2s,5c4c,47,49,4
2c2s,5c3s,50,46,4
2c2s,5c3d,50,46,4
2c2s,5c3h,50,46,4
2c2s,5c3c,48,48,4
2c2s,5c2d,62,32,6
2c2s,5c2h,63,32,5
2c2s,4s4d,17,79,4
2c2s,4s4h,17,79,4
2c2s,4s4c,16,80,4
2c2s,4s3s,48,48,4
2c2s,4s3d,51,45,4
2c2s,4s3h,51,45,4
2c2s,4s3c,50,46,4
2c2s,4s2d,63,32,5
2c2s,4s2h,63,31,6
2c2s,4d4s,17,79,4
2c2s,4d4h,18,79,3
2c2s,4d4c,17,79,4
2c2s,4d3s,51,45,4
2c2s,4d3d,48,48,4
2c2s,4d3h,51,45,4
2c2s,4d3c,51,45,4
2c2s,4d2d,59,35,6
2c2s,4d2h,63,31,6
2c2s,4h4s,17,79,4
2c2s,4h4d,18,79,3
2c2s,4h4c,17,79,4
2c2s,4h3s,51,45,4
2c2s,4h3d,51,45,4
2c2s,4h3h,48,48,4
2c2s,4h3c,51,45,4
2c2s,4h2d,63,31,6
2c2s,4h2h,59,35,6
2c2s,4c4s,16,80,4
2c2s,4c4d,17,79,4
2c2s,4c4h,17,79,4
2c2s,4c3s,50,46,4
2c2s,4c3d,51,45,4
2c2s,4c3h,51,45,4
2c2s,4c3c,49,48,3
2c2s,4c2d,63,31,6
2c2s,4c2h,63,31,6
2c2s,3s3d,17,78,5
2c2s,3s3h,17,78,5
2c2s,3s3c,16,79,5
2c2s,3s2d,63,30,7
2c2s,3s2h,64,30,6
2c2s,3d3s,17,78,5
2c2s,3d3h,18,77,5
2c2s,3d3c,17,78,5
2c2s,3d2d,60,34,6
2c2s,3d2h,64,30,6
2c2s,3h3s,17,78,5
2c2s,3h3d,18,77,5
2c2s,3h3c,17,78,5
2c2s,3h2d,64,30,6
2c2s,3h2h,60,34,6
2c2s,3c3s,16,78,6
2c2s,3c3d,17,78,5
2c2s,3c3h,17,78,5
2c2s,3c2d,63,30,7
2c2s,3c2h,64,30,6
2c2s,2d2h,2,2,96
2c2s,2h2d,2,2,96
2c2d,AcAh,18,82,0
2c2d,AcAd,17,83,0
2c2d,AcAs,17,82,1
2c2d,AcKc,50,50,0
2c2d,AcKh,52,47,1
2c2d,AcKd,52,47,1
2c2d,AcKs,53,47,0
2c2d,AcQc,50,50,0
2c2d,AcQh,52,47,1
2c2d,AcQd,52,48,0
2c2d,AcQs,52,47,1
2c2d,AcJc,49,50,1
2c2d,AcJh,51,48,1
2c2d,AcJd,51,48,1
2c2d,AcJs,52,48,0
2c2d,AcTc,49,50,1
2c2d,AcTh,51,48,1
2c2d,AcTd,51,48,1
2c2d,AcTs,51,48,1
2c2d,Ac9s,53,47,0
2c2d,Ac9c,50,49,1
2c2d,Ac9h,52,47,1
2c2d,Ac9d,53,47,0
2c2d,Ac8s,52,47,1
2c2d,Ac8d,52,47,1
2c2d,Ac8h,53,47,0
2c2d,Ac8c,50,50,0
2c2d,Ac7s,52,47,1
2c2d,Ac7d,52,48,0
2c2d,Ac7h,52,47,1
2c2d,Ac7c,50,50,0
2c2d,Ac6s,53,46,1
2c2d,Ac6d,52,47,1
2c2d,Ac6h,53,46,1
2c2d,Ac6c,50,49,1
2c2d,Ac5s,52,47,1
2c2d,Ac5d,52,48,0
2c2d,Ac5h,52,47,1
2c2d,Ac5c,50,50,0
2c2d,Ac4s,53,47,0
2c2d,Ac4d,52,48,0
2c2d,Ac4h,53,47,0
2c2d,Ac4c,50,49,1
2c2d,Ac3s,53,47,0
2c2d,Ac3d,52,47,1
